"id","title","first","last","url","n1","n2","n3","n4","n5"
"000076","奇遇","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/76_15182.html",58,56,55,39,27
"043368","「菊池寛全集」の序","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43368_17878.html",71,62,58,32,20
"000080","煙管","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/80_15183.html",48,44,42,28,23
"000081","木曽義仲論","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/81_14934.html",52,44,42,28,19
"001137","着物","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/1137_6765.html",48,44,42,35,25
"002327","凶","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2327_13464.html",50,49,45,37,26
"000093","「鏡花全集」目録開口","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/93_14953.html",44,37,34,22,19
"003815","教訓談","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3815_27295.html",55,48,47,39,31
"003803","京都日記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3803_27296.html",45,43,39,31,25
"000079","きりしとほろ上人伝","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/79_14954.html",37,33,31,23,17
"000039","疑惑","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/39_15184.html",59,55,52,37,26
"000078","金将軍","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/78_15185.html",47,43,41,29,21
"002328","鵠沼雑記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2328_13465.html",55,51,49,40,24
"003784","孔雀","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3784_27297.html",39,38,36,28,19
"000091","首が落ちた話","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/91_15186.html",61,57,54,37,28
"043369","久保田万太郎氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43369_26102.html",60,48,45,34,18
"043370","久米正雄","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43370_26103.html",56,51,47,30,17
"043371","久米正雄氏の事","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43371_26104.html",55,53,53,40,28
"000092","蜘蛛の糸","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/92_14545.html",52,47,46,33,23
"004311","クラリモンド","芥川","竜之介","http://www.aozora.gr.jp/cards/001086/files/4311_33770.html",49,44,42,28,19
"051865","軍艦金剛航海記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/51865_40605.html",57,52,50,39,28
"004273","芸術その他","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4273_6753.html",59,54,50,29,21
"000038","戯作三昧","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/38_14487.html",57,53,50,38,26
"000037","戯作三昧","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/37_14479.html",52,48,45,32,24
"000075","袈裟と盛遠","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/75_15187.html",54,51,50,36,27
"001131","結婚難並びに恋愛難","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/1131_6775.html",64,56,54,40,30
"001128","「ケルトの薄明」より","芥川","竜之介","http://www.aozora.gr.jp/cards/001085/files/1128_17118.html",54,49,47,33,24
"000036","玄鶴山房","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/36_14975.html",58,54,51,39,26
"003797","講演軍記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3797_27299.html",56,50,47,35,19
"043375","剛才人と柔才人と","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43375_26115.html",66,63,60,41,18
"000090","好色","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/90_14976.html",46,42,40,28,22
"033202","後世","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/33202_12224.html",58,53,50,35,30
"000089","校正後に","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/89_15188.html",66,60,59,45,30
"043376","合理的、同時に多量の人間味","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43376_26116.html",61,56,53,34,21
"000088","黄粱夢","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/88_15189.html",51,49,46,36,25
"000085","黒衣聖母","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/85_15190.html",54,47,46,33,23
"043373","小杉未醒氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43373_26105.html",62,55,53,29,15
"000082","古千屋","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/82_15191.html",49,46,44,35,25
"003738","骨董羹","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3738_27300.html",43,38,37,25,20
"000083","孤独地獄","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/83_15058.html",47,40,39,29,24
"000084","子供の病気","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/84_15192.html",60,56,54,44,31
"000087","湖南の扇","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/87_15106.html",57,53,50,38,25
